COUNTS (London Underground) ― station annualised entries and exits,,,,,,
,,,,,,
,,,,,,
Counts by Station,,,,,,
,2015,2016,2017,2018,2019,2020
,Annualised,Annualised,Annualised,Annualised,Annualised,Annualised
Station,en / ex,en / ex,en / ex,en / ex,en/ex,en/ex
Waterloo LU,"95,138,374","100,362,256","84,115,486","74,312,330","82,934,325","16,621,546"
Watford,"1,845,823","1,836,559","1,714,914","1,653,912","1,924,615","1,403,495"
Wembley Central,"5,789,849","5,769,748","5,439,454","5,315,150","5,650,760","3,772,644"
Wembley Park,"14,542,576","15,103,629","15,210,729","15,067,613","15,423,884","8,289,529"
West Acton,"1,736,847","1,820,883","1,577,175","1,542,000","1,710,258","835,889"
West Brompton,"5,168,452","6,098,173","5,430,381","5,020,670","5,200,463","2,391,605"
West Finchley,"1,613,941","1,665,191","1,554,352","1,515,807","1,637,337","685,418"
West Ham,"3,814,553","3,459,634","4,041,458","4,386,028","4,550,687","3,278,813"
West Hampstead LU,"11,160,117","11,039,789","10,849,422","9,922,673","10,488,823","4,955,039"
West Harrow,"1,329,655","1,489,512","1,406,785","1,530,310","1,281,592","690,469"
West Kensington,"5,321,523","5,060,671","4,805,805","4,427,931","4,871,929","2,096,566"
West Ruislip,"1,564,634","1,666,851","1,582,137","1,379,740","1,557,760","694,477"
Westbourne Park,"3,794,960","3,978,228","3,803,025","3,872,196","4,132,837","2,253,686"
Westminster,"25,614,455","28,378,426","23,447,214","23,377,600","22,560,365","6,463,756"
White City,"7,704,418","8,953,281","8,164,426","8,030,222","9,559,843","4,005,703"
Whitechapel,"11,702,345","14,369,235","12,718,095","12,570,786","13,089,592","7,621,990"
Willesden Green,"8,960,771","8,972,604","8,065,197","7,696,508","7,966,014","4,290,015"
Willesden Junction,"4,597,796","4,728,227","4,311,408","4,792,631","5,129,843","3,994,257"
Wimbledon,"15,631,389","13,395,119","11,575,354","11,397,460","12,528,740","7,040,552"
Wimbledon Park,"1,821,025","1,893,927","2,008,585","2,066,282","2,149,788","1,140,075"
Wood Green,"13,189,190","13,204,130","11,812,889","11,148,712","12,133,990","6,578,240"
Wood Lane,"3,698,414","3,678,778","3,682,627","4,368,693","4,739,497","1,359,848"
Woodford,"6,034,086","5,692,577","5,500,834","5,400,778","5,862,279","2,754,342"
Woodside Park,"2,816,775","2,869,951","3,258,966","3,883,792","4,349,739","1,956,318"
